pf,t1_smoothed,t2_smoothed,t_avg
1.43136,0.00292658,-0.00162075,0.00236556
1.47549,0.00816331,0.00220162,0.00597857
1.51962,0.0134,0.00618606,0.0104362
1.56375,0.0188204,0.0104947,0.0152372
1.60787,0.0246082,0.0152895,0.0204857
1.652,0.0310649,0.0206831,0.0263896
1.69613,0.0384921,0.0267882,0.0331606
1.74026,0.0470852,0.0336491,0.0409223
1.78438,0.0570391,0.0416311,0.049933
1.82851,0.0681319,0.0510999,0.0602211
1.87264,0.080438,0.0622577,0.0719246
1.91677,0.0942182,0.0751969,0.0852398
1.9609,0.10969,0.0897842,0.100232
2.00502,0.127226,0.105847,0.117026
2.04915,0.147233,0.123233,0.135764
2.09328,0.169668,0.141623,0.156276
2.13741,0.194044,0.16105,0.178312
2.18153,0.219975,0.182221,0.201982
2.22566,0.247263,0.205739,0.227451
2.26979,0.275721,0.231542,0.254591
2.31392,0.305979,0.259419,0.283656
2.35804,0.338527,0.288695,0.314599
2.40217,0.373461,0.318872,0.347241
2.4463,0.411319,0.349842,0.38182
2.49043,0.451602,0.381836,0.418176
2.53455,0.493148,0.415132,0.455812
2.57868,0.536158,0.449457,0.49471
2.62281,0.581571,0.484485,0.535234
2.66694,0.629866,0.520052,0.577575
2.71107,0.680734,0.556203,0.621595
2.75519,0.733933,0.592964,0.667182
2.79932,0.788855,0.629881,0.713808
2.84345,0.845532,0.667316,0.761654
2.88758,0.904567,0.705662,0.811234
2.9317,0.966246,0.744392,0.862482
2.97583,1.03111,0.782708,0.915376
3.01996,1.09897,0.82006,0.969594
3.06409,1.16882,0.856811,1.02476
3.10821,1.24043,0.89331,1.08089
3.15234,1.31434,0.929177,1.13817
3.19647,1.39083,0.964711,1.19689
3.2406,1.47069,1.00046,1.25774
3.28472,1.55414,1.03708,1.32115
3.32885,1.64077,1.0751,1.38707
3.37298,1.73087,1.1142,1.45557
3.41711,1.82403,1.15406,1.52626
3.46124,1.91907,1.19462,1.59843
3.50536,2.01576,1.23626,1.67207
3.54949,2.11475,1.27946,1.74774
3.59362,2.21588,1.32423,1.82533
3.63775,2.31927,1.37083,1.90502
3.68187,2.42417,1.41985,1.98653
3.726,2.53062,1.47144,2.06992
3.77013,2.63948,1.52584,2.15581
3.81426,2.75094,1.58256,2.24412
3.85838,2.86576,1.64061,2.33497
3.90251,2.98366,1.70046,2.42835
3.94664,3.10345,1.76229,2.52359
3.99077,3.22553,1.82594,2.62089
4.03489,3.35219,1.8929,2.72215
4.07902,3.48505,1.96408,2.82871
4.12315,3.62289,2.03836,2.93941
4.16728,3.76444,2.11537,3.05334
4.21141,3.91137,2.19588,3.17181
4.25553,4.06615,2.28037,3.29649
4.29966,4.22915,2.3686,3.42754
4.34379,4.39895,2.46003,3.56388
4.38792,4.57554,2.55534,3.70576
4.43204,4.76069,2.65522,3.8545
4.47617,4.95521,2.76001,4.01072
4.5203,5.1586,2.86981,4.17415
4.56443,5.36994,2.98472,4.34424
4.60855,5.59124,3.10506,4.52235
4.65268,5.82461,3.23147,4.71001
4.69681,6.06934,3.36452,4.90698
4.74094,6.32565,3.50285,5.11292
4.78506,6.59542,3.64582,5.32877
4.82919,6.87886,3.79574,5.55546
4.87332,7.17498,3.95381,5.7928
4.91745,7.48611,4.12005,6.04221
4.96157,7.81463,4.29636,6.30583
5.0057,8.15934,4.48456,6.58354
5.04983,8.52033,4.68403,6.87518
5.09396,8.90002,4.89501,7.18232
5.13809,9.29959,5.11969,7.50645
5.18221,9.72017,5.36023,7.84901
5.22634,10.1646,5.61953,8.21274
5.27047,10.635,5.89987,8.59974
5.3146,11.1352,6.20483,9.01366
5.35872,11.6693,6.53832,9.45836
5.40285,12.2402,6.90485,9.93732
5.44698,12.8553,7.31479,10.4586
5.49111,13.5201,7.77908,11.0297
5.53523,14.2071,8.30961,11.6381
5.57936,14.8192,8.92277,12.2316
5.62349,15.4313,9.63719,12.8647
5.66762,16.0434,10.4862,13.5527
5.71174,16.6556,11.5248,14.3218
5.75587,17.2677,12.7969,15.1976
5.8,17.8798,14.234,16.1601
