h,theta
24.94594727,0.4984
27.79713268,0.4976
33.419504,0.496
41.11497211,0.4936
50.5824662,0.4907
60.81350013,0.4873
72.44359601,0.4833
85.50667129,0.4789
100.2305238,0.474
117.2195366,0.4685
135.5189412,0.4625
156.675107,0.456
180.7174126,0.4489
208.4490883,0.4412
241.5460834,0.4329
278.6121169,0.424
321.3660539,0.4145
368.9775986,0.4044
425.5984131,0.3938
492.0395357,0.3826
568.8529308,0.3707
660.693448,0.3583
770.9034691,0.3453
901.5711376,0.3318
1064.143018,0.3178
1261.827535,0.3037
1499.684836,0.2905
1782.378767,0.279
2098.939884,0.2689
2460.367604,0.2599
2870.780582,0.2518
3341.9504,0.2442
3863.669771,0.2372
4466.835922,0.2307
5128.61384,0.2245
5888.436554,0.2187
6729.766563,0.2132
7673.614894,0.208
8729.713684,0.203
9908.319449,0.1983
11246.04974,0.1937
12705.74105,0.1894
14354.89433,0.1852
16143.58557,0.1812
18155.15663,0.1774
20370.42078,0.1737
22803.42072,0.1702
25409.72706,0.1668
28313.91996,0.1635
31477.48314,0.1603
34833.7315,0.1572
38459.1782,0.1542
42364.2966,0.1514
46558.60935,0.1486
51050.5,0.1459
55847.01947,0.1433
60953.68972,0.1407
66374.30704,0.1383
71944.8978,0.1359
77983.01105,0.1336
84139.51416,0.1314
90782.05302,0.1292
97723.7221,0.1271
104954.2429,0.125
112460.4974,0.123
120226.4435,0.1211
128233.0583,0.1192
136458.3137,0.1173
145211.1618,0.1155
154170.0453,0.1138
163305.1948,0.1121
172583.7892,0.1104
182389.5702,0.1088
192309.1729,0.1072
202301.9179,0.1057
212813.9046,0.1042
223872.1139,0.1027
234422.8815,0.1013
245470.8916,0.0999
257039.5783,0.0986
268534.4446,0.0973
280543.3638,0.096
292415.2378,0.0947
304088.5026,0.0935
316956.7463,0.0923
328851.6309,0.0911
341979.4425,0.09
354813.3892,0.0889
367282.3005,0.0878
380189.3963,0.0868
393550.0755,0.0857
406443.3292,0.0847
419758.984,0.0838
433510.8784,0.0828
446683.5922,0.0819
460256.5736,0.081
473151.259,0.0801
486407.2057,0.0793
